2025-03-28 08:00:00, TL_01, 18
2025-03-28 08:20:00, TL_02, 22
2025-03-28 08:40:00, TL_03, 27
2025-03-28 09:00:00, TL_01, 19
2025-03-28 09:20:00, TL_02, 25
2025-03-28 09:40:00, TL_03, 30
2025-03-28 10:00:00, TL_01, 17
2025-03-28 10:20:00, TL_02, 21
2025-03-28 10:40:00, TL_03, 26
2025-03-28 11:00:00, TL_01, 22
2025-03-28 11:20:00, TL_02, 29
2025-03-28 11:40:00, TL_03, 31
2025-03-28 12:00:00, TL_01, 23
2025-03-28 12:20:00, TL_02, 27
2025-03-28 12:40:00, TL_03, 32
2025-03-28 13:00:00, TL_01, 21
2025-03-28 13:20:00, TL_02, 26
2025-03-28 13:40:00, TL_03, 33
2025-03-28 14:00:00, TL_01, 20
2025-03-28 14:20:00, TL_02, 28
2025-03-28 14:40:00, TL_03, 30
2025-03-28 15:00:00, TL_01, 19
2025-03-28 15:20:00, TL_02, 31
2025-03-28 15:40:00, TL_03, 35
2025-03-28 16:00:00, TL_01, 25
2025-03-28 16:20:00, TL_02, 32
2025-03-28 16:40:00, TL_03, 34
2025-03-28 17:00:00, TL_01, 23
2025-03-28 17:20:00, TL_02, 29
2025-03-28 17:40:00, TL_03, 33
2025-03-28 18:00:00, TL_01, 27
2025-03-28 18:20:00, TL_02, 30
2025-03-28 18:40:00, TL_03, 36
2025-03-28 19:00:00, TL_01, 28
2025-03-28 19:20:00, TL_02, 34
2025-03-28 19:40:00, TL_03, 37
